CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc
Al1Au1_MgGa_sym38_8_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym38_6_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym38_1_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym38_22_0,3_Neigh,38,True,True
Al1Au1_MgHg_sym225_52_0,3_Neigh,225,False,False
Al1Au1_MgIn_sym166_29_0,3_Neigh,166,False,False
Al1Au1_MgTl_sym166_2_0,3_Neigh,166,False,False
Al1Au1_MgGa_sym166_30_0,3_Neigh,166,False,False
Al1Au1_MgHg_sym166_31_0,3_Neigh,166,False,False
Al1Au1_MgIn_sym51_51_0,3_Neigh,51,False,False
Al1Au1_MgIn_sym51_55_0,3_Neigh,51,False,False
Al1Au1_MgGa_sym51_50_0,3_Neigh,51,False,False
Al1Au1_MgHg_sym51_49_0,3_Neigh,51,False,False
Al1Au1_MgGa_sym51_49_0,3_Neigh,51,False,False
Al1Au1_MgIn_sym51_53_0,3_Neigh,51,False,False
Al1Au1_MgIn_sym51_58_0,3_Neigh,51,False,False
Al1Au1_MgGa_sym51_53_0,3_Neigh,51,False,False
Al1Au1_MgHg_sym51_53_0,3_Neigh,51,False,False
Al1Au1_MgIn_sym51_54_0,3_Neigh,51,False,False
Al1Au1_MgGa_sym51_52_0,3_Neigh,51,False,False
Al1Au1_MgHg_sym51_12_0,3_Neigh,51,False,False
Al1Au1_MgTl_sym51_6_0,3_Neigh,51,False,False
Al1Au1_MgHg_sym51_27_0,3_Neigh,51,False,False
Al1Au1_MgTl_sym51_8_0,3_Neigh,51,False,False
Al1Au1_TlAu_sym194_0_0,3_Neigh,194,True,True
Al1Au1_MgGa_sym164_28_0,3_Neigh,164,True,True
Al1Au1_MgHg_sym164_29_0,3_Neigh,164,True,True
Al1Au1_MgIn_sym164_27_0,3_Neigh,164,True,True
Al1Au1_MgHg_sym164_14_0,3_Neigh,164,True,True
Al1Au1_MgGa_sym164_14_0,3_Neigh,164,True,True
Al1Au1_MgIn_sym164_13_0,3_Neigh,164,True,True
Al1Au1_MgIn_sym8_4_0,3_Neigh,8,True,True
Al1Au1_MgGa_sym8_26_0,3_Neigh,8,True,True
Al1Au1_MgHg_sym8_11_0,3_Neigh,8,True,True
Al1Au1_MgGa_sym8_11_0,3_Neigh,8,True,True
Al1Au1_MgIn_sym8_10_0,3_Neigh,8,True,True
Al1Au1_MgIn_sym8_25_0,3_Neigh,8,True,True
Al1Au1_MgHg_sym8_25_0,3_Neigh,8,True,True
Al1Au1_MgIn_sym8_11_0,3_Neigh,8,True,True
Al1Au1_MgGa_sym8_19_0,3_Neigh,8,True,True
Al1Au1_MgGa_sym8_25_0,3_Neigh,8,True,True
Al1Au1_MgIn_sym8_24_0,3_Neigh,8,True,True
Al1Au1_MgHg_sym8_19_0,3_Neigh,8,True,True
Al1Au1_MgIn_sym8_18_0,3_Neigh,8,True,True
Al1Au1_MgHg_sym8_10_0,3_Neigh,8,True,True
Al1Au1_MgGa_sym8_12_0,3_Neigh,8,True,True
Al1Au1_MgGa_sym8_5_0,3_Neigh,8,True,True
Al1Au1_MgHg_sym8_4_0,3_Neigh,8,True,True
Al1Au1_MgHg_sym8_26_0,3_Neigh,8,True,True
Al1Au1_AlAg_sym11_6_0,1_Neigh,11,False,True
